+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|  Component  |     $USD |      $CAD |    Site   | Name                                                                                                                                       |
|   Graphics  | * $669.0 |    $931.0 |   MicroC  | MSI GeForce GTX 980 Ti GAMING 6GB GDDR5 PCI-e Video Card                                                                                   |
|   Graphics  | * $349.0 |    $486.0 |   MicroC  | EVGA GeForce GTX 970 SSC GAMING Video Card w/ ACX 2.0 Silent Cooling                                                                       |
|   Graphics  | * $234.0 |    $326.0 |   MicroC  | MSI GeForce GTX 960 Gaming 4GB GDDR5 Video Card w/ Zero Frozr Cooling System                                                               |
|   Graphics  | * $174.0 |    $242.0 |   MicroC  | EVGA GeForce GTX 950 SC+ GAMING 2GB GDDR5 Video Card w/ ACX 2.0+ Silent Cooling                                                            |
|   Graphics  | * $204.0 |    $284.0 |   MicroC  | EVGA GeForce GTX 960 Superclocked Gaming 2GB GDDR5 (Single-Fan) Video Card                                                                 |
|   Graphics  | * $754.0 |   $1050.0 |   MicroC  | EVGA GeForce GTX 980 Ti Hybrid GAMING 6GB Video Card w/ All-In-One Cooling                                                                 |
|   Graphics  | * $679.0 |    $945.0 |   MicroC  | ASUS GeForce GTX 960 Overclocked 2GB GDDR5 Video Card                                                                                      |
|   Graphics  | * $709.0 |    $987.0 |   MicroC  | EVGA GeForce GTX 980 Ti Superclocked GAMING 6GB Video Card w/ ACX 2.0+ Silent Cooling                                                      |
|   Graphics  |  * $59.0 |     $82.0 |   MicroC  | EVGA GeForce GTX 980 Ti Classified GAMING 6GB Video Card w/ ACX 2.0+ Silent Cooling                                                        |
|   Graphics  | * $529.0 |    $736.0 |   MicroC  | MSI GeForce GTX 970 Overclocked 4GB Video Card - Armor 2X Thermal Design                                                                   |
|   Graphics  | * $224.0 |    $312.0 |   MicroC  | Zotac GeForce GTX 560 Ti (Factory-Recertified) 1GB GDDR5 Video Card                                                                        |
|   Graphics  |    $86.0 |  * $119.0 | amazon.ca | ViewMax NVIDIA GeForce GT 740 4GB GDDR3 128-Bit PCI Express (PCIe) DVI Video Card HDMI & HDCP Support *** CYBERWOLF...                     |
|   Graphics  |   $119.0 |  * $165.0 | amazon.ca | ViewMax NVIDIA GeForce GTX 750 1GB GDDR3 PCI Express (PCIe) DVI Video Card HDMI & HDCP Support *** EXTERMINATOR...                         |
|   Graphics  |    $25.0 |   * $35.0 | amazon.ca | HP E8A00UA#ABL Envy Leap Motion 17.3-Inch Notebook (Intel Core i7 4702MQ, 8GB, 1TB, NVIDIA GeForce GT 750M, Windows...                     |
|   Graphics  |    $15.0 |   * $20.0 | amazon.ca | MSI CX61 2PC-492CA Class Series, 15.6" HD Laptop (Core i5-4200M, DDR III 8GB, nVidia Geforce GT820M, 2GB DDR3,...                          |
|   Graphics  |    $12.0 |   * $16.0 | amazon.ca | ViewMax NVIDIA GeForce GT 720 2GB GDDR3 PCI Express (PCIe) DVI Video Card HDMI & HDCP Support * AIR STRIKE F-16...                         |
|   Graphics  |    $68.0 |   * $94.0 | amazon.ca | Asus NVIDIA GeForce GT 750 Ti OC 2GB GDDR5 DisplayPort/DVI/HDMI PCI-Express Video Card                                                     |
|   Storage   | * $179.0 |    $249.0 |   MicroC  | Samsung 850 EVO-Series 500GB SATA III 6Gb/s 2.5" Internal SSD Single Unit Version MZ-75E500B/AM                                            |
|   Storage   |  * $89.0 |    $124.0 |   MicroC  | Samsung 850 EVO Series 250GB SATA III 6Gb/s 2.5" Internal SSD Single Unit Version MZ-75E250B/AM                                            |
|   Storage   |  * $94.0 |    $131.0 |   MicroC  | Samsung 850 EVO Series 120GB SATA III 6Gb/s 2.5" Internal SSD Single Unit Version MZ-75E120B/AM                                            |
|   Storage   |   $150.0 |  * $209.0 |    NCIX   | Samsung 850 EVO Series MZ-75E500B/AM 500GB 2.5in SATA III Internal SSD With AES 256 Encryption                                             |
