+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
|  Component  |     $USD |      $CAD |    Site   | Name                                                                                                                                       |
|    Memory   |   $174.0 |  * $242.0 | amazon.ca | Kingston HyperX FURY Black 16GB Kit (4x4GB) 2133MHz DDR4 Non-ECC CL14 DIMM Desktop Memory (HX421C14FBK4/16)                                |
|    Case2    |  * $89.0 |    $124.0 |   MicroC  | Corsair Obsidian 250D Mini ITX Case                                                                                                        |
|    Case2    |  * $49.0 |     $68.0 |   MicroC  | Corsair Obsidian Series 250D Mini ITX PC Case (Open-Box)                                                                                   |
|    Case2    |    $93.0 |  * $129.0 |    NCIX   | Corsair Obsidian 250D mITX Black Gaming Case 2X3.5 2X2.5 Front USB3.0 Audio No PSU                                                         |
|    Case2    |    $85.0 |  * $119.0 |   Newegg  | Corsair Obsidian Series 250D (CC-9011047-WW) Black Computer Case                                                                           |
|    Case2    |   $109.0 |  * $152.0 |   Newegg  | Obsidian Series 250d Mini Itx                                                                                                              |
|    Case2    |    $89.0 |  * $124.0 | amazon.ca | Corsair Obsidian 250D Mini ITX Case CC-9011047-WW                                                                                          |
|    Case2    |   $166.0 |  * $231.0 | amazon.ca | Corsair Obsidian 250D Mini ITX Case CC-9011047-WW by Corsair                                                                               |
|     CPU     | * $209.0 |    $291.0 |   MicroC  | Intel Xeon E3 1231V3 3.5GHz LGA 1150 Boxed Processor                                                                                       |
|     CPU     | * $279.0 |    $388.0 |   MicroC  | Intel Xeon E3 1276V3 3.6GHz LGA 1150 Boxed Processor                                                                                       |
|     CPU     | * $239.0 |    $333.0 |   MicroC  | Intel Xeon E3 1246V3 3.5GHz LGA 1150 Boxed Processor                                                                                       |
|     CPU     | * $229.0 |    $319.0 |   MicroC  | Intel Xeon E3 1241V3 3.5GHz LGA 1150 Boxed Processor                                                                                       |
|     CPU     | * $287.0 |    $400.0 |   MicroC  | Intel Xeon E3 1275V2 3.5GHz LGA 1155 Boxed Processor                                                                                       |
|     CPU     |   $507.0 |  * $706.0 |    NCIX   | Lenovo Thinkserver RS140 Intel Xeon E3-1225V3 3.2GHZ 4GB DDR3 RAID 0/1/5/10 DVDRW 1U 1P Rack Server                                        |
|     CPU     |   $280.0 |  * $389.0 |    NCIX   | Intel Xeon E3-1231V3 4CORES 3.4G FCLGA1150 8MB Cache 5GT/S 80W Processor                                                                   |
|     CPU     |   $308.0 |  * $429.0 |    NCIX   | Intel Xeon E3-1241V3 4C 3.5G 8MB 80W Tdp DDR3 LGA1150 Retail Box                                                                           |
|     CPU     |   $218.0 |  * $303.0 |    NCIX   | Intel Xeon E3-1220V3 LGA1150 3.1 G DDR3-1333/1600 22NM MM#928633                                                                           |
|     CPU     |   $214.0 |  * $297.0 |    NCIX   | Supermicro X10SLH-F Xeon E3 LGA1150 DDR3 ECC C222 6SATA 3PCIE IPMI 2GBE mATX Motherboard                                                   |
|     CPU     |   $512.0 |  * $713.0 |    NCIX   | Lenovo Thinkserver TS410 Intel Xeon E3-1225V3 4GB P4600 DVDRW No HDD 280W Tower Server                                                     |
|     CPU     |   $176.0 |  * $245.0 |    NCIX   | ASUS P9D-V 1 X Socket LGA1150 ATX Intel C224 Xeon E3-1200 V3 DDR3 1333/1600 Server Motherboard                                             |
|     CPU     |  $1134.0 | * $1578.0 |    NCIX   | Lenovo Thinkstation P300 Intel Xeon E3-1246 V3 8GB 180GB SSD DVDRW Windows 7/8 Pro Workstation                                             |
|     CPU     |   $174.0 |  * $242.0 |    NCIX   | Intel Xeon E3-1200 LGA1150 DDR3 SATA 2GBE mATX Server Motherboard                                                                          |
|     CPU     |   $237.0 |  * $330.0 |    NCIX   | Intel Xeon E3-1200 LGA1150 DDR3 SATA mATX Server Motherboard                                                                               |
|     CPU     |   $181.0 |  * $253.0 |    NCIX   | Supermicro X10SLL-F Xeon E3 LGA1150 DDR3 ECC C222 6SATA 3PCIE IPMI 2GBE mATX Motherboard                                                   |
|     CPU     |   $676.0 |  * $941.0 |    NCIX   | HP ProLiant 4U Micro Tower ML310E GEN8 V2 Server Intel Xeon E3-1230V3 3.3GHZ 8GB 4 LFF PS                                                  |
|     CPU     |   $249.0 |  * $347.0 |    NCIX   | Supermicro Motherboard X10SL7-F Xeon E3 LGA1150 C222 DDR3 6SATA 8SAS 2PCIE ECC mATX Retail                                                 |
|     CPU     |  $1216.0 | * $1693.0 |    NCIX   | HP Z230 SFF Intel Xeon E3-1241v3 3.5 16GB 256GB SSD NVIDIA Quadro K620 2GB Win 7/8.1 Pro Workstation                                       |
|     CPU     |   $186.0 |  * $259.0 |    NCIX   | Intel Xeon E3-1200 LGA1155 DDR3 SATA mATX Server Motherboard                                                                               |
|     CPU     |   $242.0 |  * $336.0 |    NCIX   | Intel Xeon E3 1231V3 4 Core 3.4GHZ LGA1150 8MB 80W 5GT/S Denlow Processor for Supermicro                                                   |
|     CPU     |   $666.0 |  * $928.0 |    NCIX   | Lenovo Thinkserver TS440 Intel Xeon E3-1225 4GB 5U Server No HDD                                                                           |
|     CPU     |   $613.0 |  * $853.0 |    NCIX   | Lenovo Thinkserver TS140 Intel Xeon E3 1225V3 4GB 500GB DVD Tower Server 1YR Onsite Warranty                                               |
|     CPU     |   $195.0 |  * $272.0 |    NCIX   | Intel Xeon E3 1220LV3 2 Core 1.1GHz LGA1150 4MB 13W 5GT/s Denlow Processor for Supermicro                                                  |
|     CPU     |   $215.0 |  * $299.0 |    NCIX   | Intel Xeon E3 1255 V2 Quad Core 3.2GHZ LGA1155 8MB 5 GT/S 77W Carlow Processor for Supermicro                                              |
|     CPU     |   $250.0 |  * $349.0 |   Newegg  | Intel Xeon E3-1231V3 3.4 GHz LGA 1150 80W BX80646E31231V3 Server Processor                                                                 |
|     CPU     |   $200.0 |  * $279.0 |   Newegg  | Intel Xeon E3-1220 V3 3.1 GHz LGA 1150 80W BX80646E31220V3 Server Processor                                                                |
|     CPU     |   $272.0 |  * $379.0 |   Newegg  | Intel Xeon E3-1241 v3 Haswell 3.5 GHz 8MB  L3 Cache LGA 1150 80W Server Processor BX80646E31241V3                                          |
|     CPU     |   $229.0 |  * $319.0 |   Newegg  | Intel Xeon E3-1225 v5 3.3 GHz LGA 1151 80W BX80662E31225V5 Server Processor                                                                |
|     CPU     |   $365.0 |  * $509.0 |   Newegg  | Intel Xeon E3-1275 v5 3.6 GHz LGA 1151 80W BX80662E31275V5 Server Processor                                                                |
|     CPU     |   $286.0 |  * $399.0 |   Newegg  | Intel Xeon E3-1240 v5 3.5 GHz LGA 1151 80W BX80662E31240V5 Server Processor                                                                |
|     CPU     |   $268.0 |  * $374.0 |   Newegg  | Intel Xeon E3-1230 v5 3.4 GHz LGA 1151 80W BX80662E31230V5 Server Processor                                                                |
|     CPU     |   $247.0 |  * $344.0 |   Newegg  | Intel Xeon E3-1230V3 3.3 GHz LGA 1150 80W BX80646E31230V3 Server Processor                                                                 |
|     CPU     |   $211.0 |  * $294.0 |   Newegg  | Intel Xeon E3-1220 v5 3.0 GHz LGA 1151 80W BX80662E31220V5 Server Processor                                                                |
|     CPU     |   $286.0 |  * $399.0 |   Newegg  | Intel Xeon E3-1246 v3 Haswell 3.5GHz 8MB  L3 Cache LGA 1150 84W Server Processor BX80646E31246V3                                           |
|     CPU     |   $344.0 |  * $479.0 |   Newegg  | Intel Xeon E3-1276 v3 Haswell 3.6GHz 8MB  L3 Cache LGA 1150 84W Server Processor BX80646E31276V3                                           |
|     CPU     |   $297.0 |  * $414.0 |   Newegg  | Intel Xeon E3-1245 v5 3.5 GHz LGA 1151 80W BX80662E31245V5 Server Processor                                                                |
|     CPU     |   $344.0 |  * $479.0 |   Newegg  | Intel Xeon E3-1270 v5 3.6 GHz LGA 1151 80W BX80662E31270V5 Server Processor                                                                |
|     CPU     |   $214.0 |  * $299.0 |   Newegg  | Intel Xeon E3-1226 v3 Haswell 3.3GHz 8MB  L3 Cache LGA 1150 84W Server Processor BX80646E31226V3                                           |
|     CPU     |   $336.0 |  * $469.0 |   Newegg  | Intel Xeon E3-1271 v3 Haswell 3.6GHz 8MB  L3 Cache LGA 1150 80W Server Processor BX80646E31271V3                                           |
|     CPU     |  $1188.0 | * $1654.0 |   Newegg  | HP Z230 (F1M21UT#ABA) Tower Workstation Intel Xeon E3 -1231 v3 (3.4 GHz) 8GB DDR3 1TB HDD NVIDIA Quadro K420 Windows 7 Professional 64-Bit |
|     CPU     |  $1129.0 | * $1572.0 |   Newegg  | Lenovo ThinkStation P300 30AH001TUS Tower Workstation - 1 x Intel Xeon E3-1246 v3 3.50 GHz                                                 |
|     CPU     |   $976.0 | * $1359.0 |   Newegg  | Lenovo ThinkStation P300 30AH004MUS Tower Workstation - 1 x Intel Xeon E3-1241 v3 3.50 GHz                                                 |
|     CPU     |  $1072.0 | * $1493.0 |   Newegg  | Lenovo ThinkStation P300 30AH001TCA Mini-tower Workstation - 1 x Intel Xeon E3-1246 v3 3.50 GHz                                            |
|     CPU     |  $1099.0 | * $1530.0 |   Newegg  | Lenovo ThinkStation P300 30AH004MUS Tower Workstation - 1 x Intel Xeon E3-1241 v3 3.50 GHz                                                 |
|     CPU     |   $229.0 |  * $320.0 |   Newegg  | Intel Xeon E3-1220 v3 Quad-core (4 Core) 3.10 GHz Processor                                                                                |
|     CPU     |  $1064.0 | * $1482.0 |   Newegg  | TS140 E3 1225v3 4GB 500GB                                                                                                                  |
|     CPU     |   $244.0 |  * $339.0 | amazon.ca | Intel Xeon Processor E3-1241 v3, 8M Cache, 3.5 GHz, BX80646E31241V3                                                                        |
|     CPU     |   $264.0 |  * $368.0 | amazon.ca | Intel Xeon Processor E3-1231V3B 3.4 4 LGA 1150 (BX80646E31231V3)                                                                           |
|     CPU     |   $280.0 |  * $389.0 | amazon.ca | Intel Xeon Processor E3-1246 v3, 8M Cache, 3.5 GHz, BX80646E31246V3                                                                        |
|     CPU     |   $238.0 |  * $332.0 | amazon.ca | Intel Xeon E3-1245V3 Haswell 3.4GHz 8MB L3 Cache LGA 1150 84W Quad-Core Server Processor BX80646E31245V3                                   |
|     CPU     |   $236.0 |  * $329.0 | amazon.ca | Intel Xeon Processor E3-1226 v3, 8M Cache, 3.3 GHz, BX80646E31226V3                                                                        |
|     CPU     |   $312.0 |  * $434.0 | amazon.ca | Intel Xeon E3-1240V2 3.40 GHz Processor - Socket H2 LGA-1155                                                                               |
|     CPU     |   $301.0 |  * $420.0 | amazon.ca | Intel Xeon Processor E3-1276 V3, 8MB Cache, 3.60GHz, BX80646E31276V3                                                                       |
|     CPU     |   $219.0 |  * $305.0 | amazon.ca | Intel Xeon Quad-Core E3-1230V2 3.3GHz 5.0GT/s 8MB LGA1155 Processor, Retail BX80637E31230V2                                                |
|     CPU     |   $247.0 |  * $344.0 | amazon.ca | Xeon E3-1220v3, 3.1/3.5ghz, Fclga1150, 8mb, 4 Cores/4 Threads, 80w,Max Memory -                                                            |
|     CPU     |  $1093.0 | * $1522.0 | amazon.ca | Intel BX80646E31230V3 Xeon E3-1230V3 Haswell 3.3GHz 8MB L3 Cache LGA 1150 80W Quad-Core Server Processor                                   |
|     CPU     |   $295.0 |  * $410.0 | amazon.ca | HP Z230 Mini-tower Workstation - 1 x Intel Xeon E3-1241 v3 3.50 GHz - 8 GB RAM - 1 TB HDD - DVD-Writer - NVIDIA...                         |
|     CPU     |   $271.0 |  * $378.0 | amazon.ca | Intel Xeon E3-1230V3 Haswell, 3.3GHz, 8MB L3 Cache LGA 1150, 80W Quad-Core Server Processor BX80646E31230V3                                |
|     CPU     |   $309.0 |  * $431.0 | amazon.ca | Xeon Qc E3-1225 Processor                                                                                                                  |
+-------------+----------+-----------+-----------+--------------------------------------------------------------------------------------------------------------------------------------------+
